File,Title,Data,Translated_Data,Translated_Title
rings_1,Sports and Entertainment Market Trends - 2023/nSports and Entertainment,"[{""Category"":""Ticket Sales"",""ratio"":""20%""},{""Category"":""Viewership"",""ratio"":""17%""},{""Category"":""Merchandise"",""ratio"":""14%""},{""Category"":""Advertising"",""ratio"":""25%""},{""Category"":""Sponsorship"",""ratio"":""24%""}]","[{""Thể loại"":""Doanh số bán vé"",""tỷ lệ"":""20%""},{""Thể loại"":""Lượng người xem"",""tỷ lệ"":""17%""},{""Thể loại"":""Hàng hóa"",""tỷ lệ"":""14%""},{""Thể loại"":""Quảng cáo"",""tỷ lệ"":""25%""},{""Thể loại"":""Tài trợ"",""tỷ lệ"":""24%""}]",Xu hướng thị trường thể thao và giải trí - 2023/nThể thao và giải trí
rings_10,Public Policy Impact - 2023/nGovernment and Public Policy,"[{""Category"":""Taxation"",""ratio"":""20%""},{""Category"":""Infrastructure"",""ratio"":""17%""},{""Category"":""Education"",""ratio"":""25%""},{""Category"":""Social Welfare"",""ratio"":""18%""},{""Category"":""Health Care"",""ratio"":""20%""}]","[{""Thể loại"":""Thuế"",""tỷ lệ"":""20%""},{""Thể loại"":""Cơ sở hạ tầng"",""tỷ lệ"":""17%""},{""Thể loại"":""Giáo dục"",""tỷ lệ"":""25%""},{""Thể loại"":""Phúc lợi xã hội"",""tỷ lệ"":""18%""},{""Thể loại"":""Chăm sóc sức khỏe"",""tỷ lệ"":""20%""}]",Tác động của Chính sách công - 2023/nChính phủ và Chính sách công
rings_100,Manufacturing and Production Performance - 2023/nManufacturing and Production,"[{""Aspect"":""Efficiency"",""ratio"":""20%""},{""Aspect"":""Quality"",""ratio"":""39%""},{""Aspect"":""Cost Control"",""ratio"":""6%""},{""Aspect"":""Resource Utilization"",""ratio"":""15%""},{""Aspect"":""Safety Performance"",""ratio"":""20%""}]","[{""Aspect"":""Hiệu quả"",""tỷ lệ"":""20%""},{""Aspect"":""Chất lượng"",""tỷ lệ"":""39%""},{""Aspect"":""Kiểm soát chi phí"",""tỷ lệ"":""6%""},{""Aspect"":""Sử dụng tài nguyên"",""tỷ lệ"":""15%""},{""Aspect"":""Hiệu suất an toàn"",""tỷ lệ"":""20%""}]",Hiệu suất sản xuất và sản xuất - 2023/nSản xuất và sản xuất
rings_101,Education Quality Evaluation - 2023/nEducation and Academics,"[{""Category"":""Academic Achievement"",""ratio"":""25%""},{""Category"":""Student Engagement"",""ratio"":""20%""},{""Category"":""Teacher Performance"",""ratio"":""35%""},{""Category"":""School Facilities"",""ratio"":""10%""},{""Category"":""Extracurriculars"",""ratio"":""10%""}]","[{""Thể loại"":""Thành tích học tập"",""tỷ lệ"":""25%""},{""Thể loại"":""Sự tham gia của học sinh"",""tỷ lệ"":""20%""},{""Thể loại"":""Hiệu suất của giáo viên"",""tỷ lệ"":""35%""},{""Thể loại"":""Cơ sở vật chất của trường"",""tỷ lệ"":""10%""},{""Thể loại"":""Hoạt động ngoại khóa"",""tỷ lệ"":""10%""}]",Đánh giá chất lượng giáo dục - 2023/nGiáo dục và học thuật
rings_102,Retail & E-commerce Market Overview - 2023/nRetail and E-commerce,"[{""Category"":""Online Shopping"",""ratio"":""40%""},{""Category"":""Store Visits"",""ratio"":""15%""},{""Category"":""Advertising"",""ratio"":""5%""},{""Category"":""Customer Retention"",""ratio"":""25%""},{""Category"":""Brand Promotion"",""ratio"":""15%""}]","[{""Thể loại"":""Mua sắm trực tuyến"",""tỷ lệ"":""40%""},{""Thể loại"":""Lượt ghé thăm cửa hàng"",""tỷ lệ"":""15%""},{""Thể loại"":""Quảng cáo"",""tỷ lệ"":""5%""},{""Thể loại"":""Giữ chân khách hàng"",""tỷ lệ"":""25%""},{""Thể loại"":""Quảng bá thương hiệu"",""tỷ lệ"":""15%""}]",Tổng quan thị trường bán lẻ và thương mại điện tử - 2023/nBán lẻ và thương mại điện tử
rings_103,Social Media and Web Performance - 2023/nSocial Media and the Web,"[{""Category"":""Website Traffic"",""ratio"":""30%""},{""Category"":""Social Media Engagement"",""ratio"":""25%""},{""Category"":""Online Advertising"",""ratio"":""20%""},{""Category"":""Content Quality"",""ratio"":""12%""},{""Category"":""User Experience"",""ratio"":""13%""}]","[{""Thể loại"":""Lưu lượng truy cập trang web"",""tỷ lệ"":""30%""},{""Thể loại"":""Tương tác trên mạng xã hội"",""tỷ lệ"":""25%""},{""Thể loại"":""Quảng cáo trực tuyến"",""tỷ lệ"":""20%""},{""Thể loại"":""Chất lượng nội dung"",""tỷ lệ"":""12%""},{""Thể loại"":""Trải nghiệm người dùng"",""tỷ lệ"":""13%""}]",Hiệu suất của phương tiện truyền thông xã hội và web - 2023/nPhương tiện truyền thông xã hội và web
rings_105,Breakdown of Science and Engineering Disciplines - 2023/nScience and Engineering,"[{""Field"":""Mechanical Engineering"",""ratio"":""20%""},{""Field"":""Computer Science"",""ratio"":""30%""},{""Field"":""Civil Engineering"",""ratio"":""15%""},{""Field"":""Materials Science"",""ratio"":""7%""},{""Field"":""Physics"",""ratio"":""28%""}]","[{""Field"":""Kỹ thuật cơ khí"",""ratio"":""20%""},{""Field"":""Khoa học máy tính"",""ratio"":""30%""},{""Field"":""Kỹ thuật xây dựng"",""ratio"":""15%""},{""Field"":""Khoa học vật liệu"",""ratio"":""7%""},{""Field"":""Vật lý"",""ratio"":""28%""}]",Phân tích các ngành Khoa học và Kỹ thuật - 2023/nKhoa học và Kỹ thuật
rings_106,Public Policy Impact - 2023/nGovernment and Public Policy,"[{""Category"":""Spending"",""ratio"":""27%""},{""Category"":""Regulation"",""ratio"":""23%""},{""Category"":""Taxation"",""ratio"":""25%""},{""Category"":""Law Enforcement"",""ratio"":""15%""},{""Category"":""Education"",""ratio"":""10%""}]","[{""Thể loại"":""Chi tiêu"",""tỷ lệ"":""27%""},{""Thể loại"":""Quy định"",""tỷ lệ"":""23%""},{""Thể loại"":""Thuế"",""tỷ lệ"":""25%""},{""Thể loại"":""Thực thi pháp luật"",""tỷ lệ"":""15%""},{""Thể loại"":""Giáo dục"",""tỷ lệ"":""10%""}]",Tác động của Chính sách công - 2023/nChính phủ và Chính sách công
rings_107,Law and Legal Affairs Overview - 2023/nLaw and Legal Affairs,"[{""Category"":""Legal Compliance"",""ratio"":""37%""},{""Category"":""Regulatory Framework"",""ratio"":""23%""},{""Category"":""Risk Management"",""ratio"":""16%""},{""Category"":""Compliance Enforcement"",""ratio"":""17%""},{""Category"":""Professional Ethics"",""ratio"":""7%""}]","[{""Thể loại"":""Tuân thủ pháp luật"",""tỷ lệ"":""37%""},{""Thể loại"":""Khung pháp lý"",""tỷ lệ"":""23%""},{""Thể loại"":""Quản lý rủi ro"",""tỷ lệ"":""16%""},{""Thể loại"":""Thực thi tuân thủ"",""tỷ lệ"":""17%""},{""Thể loại"":""Đạo đức nghề nghiệp"",""tỷ lệ"":""7%""}]",Tổng quan về Luật và Các vấn đề pháp lý - 2023/nLuật và Các vấn đề pháp lý
rings_108,Academic Performance in Social Sciences and Humanities - 2023/nSocial Sciences and Humanities,"[{""Category"":""Education"",""ratio"":""27%""},{""Category"":""Arts"",""ratio"":""19%""},{""Category"":""Social Sciences"",""ratio"":""10%""},{""Category"":""Humanities"",""ratio"":""44%""}]","[{""Thể loại"":""Giáo dục"",""tỷ lệ"":""27%""},{""Thể loại"":""Nghệ thuật"",""tỷ lệ"":""19%""},{""Thể loại"":""Khoa học xã hội"",""tỷ lệ"":""10%""},{""Thể loại"":""Nhân văn"",""tỷ lệ"":""44%""}]",Thành tích học tập trong Khoa học xã hội và Nhân văn - 2023/nKhoa học xã hội và Nhân văn
rings_109,Educational Progress - 2023/nEducation and Academics,"[{""Category"":""Academic Performance"",""ratio"":""30%""},{""Category"":""Student Engagement"",""ratio"":""25%""},{""Category"":""Graduate Retention"",""ratio"":""15%""},{""Category"":""Quality of Faculty"",""ratio"":""20%""},{""Category"":""Campus Satisfaction"",""ratio"":""10%""}]","[{""Category"":""Hiệu suất học tập"",""tỷ lệ"":""30%""},{""Category"":""Sự tham gia của sinh viên"",""tỷ lệ"":""25%""},{""Category"":""Tỷ lệ giữ chân sinh viên sau đại học"",""tỷ lệ"":""15%""},{""Category"":""Chất lượng giảng viên"",""tỷ lệ"":""20%""},{""Category"":""Sự hài lòng về khuôn viên trường"",""tỷ lệ"":""10%""}]",Tiến độ giáo dục - 2023/nGiáo dục và học thuật
rings_11,Tourism and Hospitality Performance Review - 2023/nTourism and Hospitality,"[{""Category"":""Sightseeing"",""ratio"":""20%""},{""Category"":""Accommodation"",""ratio"":""35%""},{""Category"":""Food and Beverage"",""ratio"":""25%""},{""Category"":""Attraction"",""ratio"":""10%""},{""Category"":""Reviews"",""ratio"":""10%""}]","[{""Thể loại"":""Tham quan"",""tỷ lệ"":""20%""},{""Thể loại"":""Chỗ ở"",""tỷ lệ"":""35%""},{""Thể loại"":""Đồ ăn và đồ uống"",""tỷ lệ"":""25%""},{""Thể loại"":""Điểm tham quan"",""tỷ lệ"":""10%""},{""Thể loại"":""Đánh giá"",""tỷ lệ"":""10%""}]",Đánh giá hiệu quả hoạt động du lịch và khách sạn - 2023/nDu lịch và khách sạn
rings_110,Social Media and Web Performance - 2023/nSocial Media and the Web,"[{""Category"":""User Engagement"",""ratio"":""31%""},{""Category"":""User Experience"",""ratio"":""19%""},{""Category"":""Social Media Reach"",""ratio"":""18%""},{""Category"":""Web Traffic"",""ratio"":""15%""},{""Category"":""Digital Advertising"",""ratio"":""17%""}]","[{""Thể loại"":""Tương tác của người dùng"",""tỷ lệ"":""31%""},{""Thể loại"":""Trải nghiệm người dùng"",""tỷ lệ"":""19%""},{""Thể loại"":""Tiếp cận phương tiện truyền thông xã hội"",""tỷ lệ"":""18%""},{""Thể loại"":""Lưu lượng truy cập trang web"",""tỷ lệ"":""15%""},{""Thể loại"":""Quảng cáo kỹ thuật số"",""tỷ lệ"":""17%""}]",Hiệu suất của phương tiện truyền thông xã hội và web - 2023/nPhương tiện truyền thông xã hội và web
rings_111,Healthcare Quality Metrics - 2023/nHealthcare and Health,"[{""Category"":""Vaccinations"",""ratio"":""32%""},{""Category"":""Infection Control"",""ratio"":""16%""},{""Category"":""Diagnostics"",""ratio"":""22%""},{""Category"":""Treatment Standards"",""ratio"":""20%""},{""Category"":""Patient Safety"",""ratio"":""10%""}]","[{""Thể loại"":""Tiêm chủng"",""tỷ lệ"":""32%""},{""Thể loại"":""Kiểm soát nhiễm trùng"",""tỷ lệ"":""16%""},{""Thể loại"":""Chẩn đoán"",""tỷ lệ"":""22%""},{""Thể loại"":""Tiêu chuẩn điều trị"",""tỷ lệ"":""20%""},{""Thể loại"":""An toàn cho bệnh nhân"",""tỷ lệ"":""10%""}]",Chỉ số chất lượng chăm sóc sức khỏe - 2023/nChăm sóc sức khỏe và sức khỏe
rings_113,Transport and Logistics Network - 2023/nTransportation and Logistics,"[{""Mode"":""Air"",""ratio"":""20%""},{""Mode"":""Rail"",""ratio"":""15%""},{""Mode"":""Road"",""ratio"":""45%""},{""Mode"":""Sea"",""ratio"":""20%""},{""Mode"":""Other"",""ratio"":""0%""}]","[{""Chế độ"":""Không khí"",""tỷ lệ"":""20%""},{""Chế độ"":""Đường sắt"",""tỷ lệ"":""15%""},{""Chế độ"":""Đường bộ"",""tỷ lệ"":""45%""},{""Chế độ"":""Đường biển"",""tỷ lệ"":""20%""},{""Chế độ"":""Khác"",""tỷ lệ"":""0%""}]",Mạng lưới vận tải và hậu cần - 2023/nVận tải và hậu cần
