File,Title,Data,Translated_Data,Translated_Title
rose_1,Energy Usage by Type of Source in 2021/nEnergy and Utilities,"[{""Type of Energy"":""Solar Power"",""Value"":87},{""Type of Energy"":""Wind Power"",""Value"":66},{""Type of Energy"":""Hydroelectric"",""Value"":48},{""Type of Energy"":""Natural Gas"",""Value"":35},{""Type of Energy"":""Petroleum"",""Value"":21},{""Type of Energy"":""Nuclear"",""Value"":12}]","[{""Loại năng lượng"":""Năng lượng mặt trời"",""Giá trị"":87},{""Loại năng lượng"":""Năng lượng gió"",""Giá trị"":66},{""Loại năng lượng"":""Thủy điện"",""Giá trị"":48},{""Loại năng lượng"":""Khí thiên nhiên"",""Giá trị"":35},{""Loại năng lượng"":""Dầu mỏ"",""Giá trị"":21},{""Loại năng lượng"":""Hạt nhân"",""Giá trị"":12}]",Tiêu thụ năng lượng theo loại nguồn năm 2021/nNăng lượng và tiện ích
rose_10,Number of Public Policies in 2021/nGovernment and Public Policy,"[{""Policy Area"":""Education"",""Value"":150},{""Policy Area"":""Taxation"",""Value"":200},{""Policy Area"":""International Relations"",""Value"":80},{""Policy Area"":""Budget"",""Value"":90},{""Policy Area"":""Social Welfare"",""Value"":125},{""Policy Area"":""Infrastructure"",""Value"":110},{""Policy Area"":""Trade"",""Value"":45},{""Policy Area"":""Environmental"",""Value"":70},{""Policy Area"":""National Security"",""Value"":30}]","[{""Lĩnh vực chính sách"":""Giáo dục"",""Giá trị"":150},{""Lĩnh vực chính sách"":""Thuế"",""Giá trị"":200},{""Lĩnh vực chính sách"":""Quan hệ quốc tế"",""Giá trị"":80},{""Lĩnh vực chính sách"":""Ngân sách"",""Giá trị"":90},{""Lĩnh vực chính sách"":""Phúc lợi xã hội"",""Giá trị"":125},{""Lĩnh vực chính sách"":""Cơ sở hạ tầng"",""Giá trị"":110},{""Lĩnh vực chính sách"":""Thương mại"",""Giá trị"":45},{""Lĩnh vực chính sách"":""Môi trường"",""Giá trị"":70},{""Lĩnh vực chính sách"":""An ninh quốc gia"",""Giá trị"":30}]",Số lượng chính sách công năm 2021/nChính phủ và chính sách công
rose_100,Number of Nonprofits by Type in 2021/nCharity and Nonprofit Organizations,"[{""Category"":""Education"",""Value"":50},{""Category"":""Health"",""Value"":75},{""Category"":""Social Welfare"",""Value"":60},{""Category"":""Human Rights"",""Value"":35},{""Category"":""Environment"",""Value"":45},{""Category"":""Arts and Culture"",""Value"":30},{""Category"":""Religion"",""Value"":20},{""Category"":""Animal Welfare"",""Value"":15},{""Category"":""International Development"",""Value"":10}]","[{""Thể loại"":""Giáo dục"",""Giá trị"":50},{""Thể loại"":""Sức khỏe"",""Giá trị"":75},{""Thể loại"":""Phúc lợi xã hội"",""Giá trị"":60},{""Thể loại"":""Quyền con người"",""Giá trị"":35},{""Thể loại"":""Môi trường"",""Giá trị"":45},{""Thể loại"":""Nghệ thuật và văn hóa"",""Giá trị"":30},{""Thể loại"":""Tôn giáo"",""Giá trị"":20},{""Thể loại"":""Phúc lợi động vật"",""Giá trị"":15},{""Thể loại"":""Phát triển quốc tế"",""Giá trị"":10}]",Số lượng tổ chức phi lợi nhuận theo loại hình năm 2021/nTổ chức từ thiện và phi lợi nhuận
rose_101,Number of Nonprofit Organizations Serving Different Causes/nCharity and Nonprofit Organizations,"[{""Type of Organization"":""Animal Welfare"",""Value"":120},{""Type of Organization"":""Environmental Preservation"",""Value"":80},{""Type of Organization"":""Humanitarian Aid"",""Value"":100},{""Type of Organization"":""Education"",""Value"":90},{""Type of Organization"":""Health Care"",""Value"":85},{""Type of Organization"":""Poverty Relief"",""Value"":70},{""Type of Organization"":""Homeless Shelters"",""Value"":60},{""Type of Organization"":""Senior Care"",""Value"":50},{""Type of Organization"":""Cultural Preservation"",""Value"":40},{""Type of Organization"":""Disaster Relief"",""Value"":30}]","[{""Loại tổ chức"":""Phúc lợi động vật"",""Giá trị"":120},{""Loại tổ chức"":""Bảo tồn môi trường"",""Giá trị"":80},{""Loại tổ chức"":""Viện trợ nhân đạo"",""Giá trị"":100},{""Loại tổ chức"":""Giáo dục"",""Giá trị"":90},{""Loại tổ chức"":""Chăm sóc sức khỏe"",""Giá trị"":85},{""Loại tổ chức"":""Cứu đói nghèo"",""Giá trị"":70},{""Loại tổ chức"":""Nhà tạm trú cho người vô gia cư"",""Giá trị"":60},{""Loại tổ chức"":""Chăm sóc người cao tuổi"",""Giá trị"":50},{""Loại tổ chức"":""Bảo tồn văn hóa"",""Giá trị"":40},{""Loại tổ chức"":""Cứu trợ thiên tai"",""Giá trị"":30}]",Số lượng các tổ chức phi lợi nhuận phục vụ cho các mục đích khác nhau/nTổ chức từ thiện và phi lợi nhuận
rose_102,Popularity of Online Activities in 2020/nSocial Media and the Web,"[{""Social Media Usage"":""Social Networking"",""Value"":83},{""Social Media Usage"":""Video Sharing"",""Value"":73},{""Social Media Usage"":""Photo Sharing"",""Value"":63},{""Social Media Usage"":""Web Browsing"",""Value"":56},{""Social Media Usage"":""Online Shopping"",""Value"":43},{""Social Media Usage"":""Online Gaming"",""Value"":36},{""Social Media Usage"":""Blogging"",""Value"":30},{""Social Media Usage"":""Instant Messaging"",""Value"":25},{""Social Media Usage"":""Streaming Music"",""Value"":20}]","[{""Sử dụng phương tiện truyền thông xã hội"":""Mạng xã hội"",""Giá trị"":83},{""Sử dụng phương tiện truyền thông xã hội"":""Chia sẻ video"",""Giá trị"":73},{""Sử dụng phương tiện truyền thông xã hội"":""Chia sẻ ảnh"",""Giá trị"":63},{""Sử dụng phương tiện truyền thông xã hội"":""Duyệt web"",""Giá trị"":56},{""Sử dụng phương tiện truyền thông xã hội"":""Mua sắm trực tuyến"",""Giá trị"":43},{""Sử dụng phương tiện truyền thông xã hội"":""Chơi game trực tuyến"",""Giá trị"":36},{""Sử dụng phương tiện truyền thông xã hội"":""Viết blog"",""Giá trị"":30},{""Sử dụng phương tiện truyền thông xã hội"":""Nhắn tin tức thời"",""Giá trị"":25},{""Sử dụng phương tiện truyền thông xã hội"":""Phát nhạc trực tuyến"",""Giá trị"":20}]",Sự phổ biến của các hoạt động trực tuyến trong năm 2020/nMạng xã hội và Web
rose_103,Types of Tourism and Their Popularity in 2021/nTourism and Hospitality,"[{""Type of Tourism"":""Nature Tourism"",""Value"":35},{""Type of Tourism"":""Cultural Tourism"",""Value"":42},{""Type of Tourism"":""Adventure Tourism"",""Value"":25},{""Type of Tourism"":""Business Tourism"",""Value"":21},{""Type of Tourism"":""Religious Tourism"",""Value"":30},{""Type of Tourism"":""Eco Tourism"",""Value"":18},{""Type of Tourism"":""Medical Tourism"",""Value"":12}]","[{""Loại hình du lịch"":""Du lịch thiên nhiên"",""Giá trị"":35},{""Loại hình du lịch"":""Du lịch văn hóa"",""Giá trị"":42},{""Loại hình du lịch"":""Du lịch mạo hiểm"",""Giá trị"":25},{""Loại hình du lịch"":""Du lịch kinh doanh"",""Giá trị"":21},{""Loại hình du lịch"":""Du lịch tôn giáo"",""Giá trị"":30},{""Loại hình du lịch"":""Du lịch sinh thái"",""Giá trị"":18},{""Loại hình du lịch"":""Du lịch y tế"",""Giá trị"":12}]",Các loại hình du lịch và mức độ phổ biến của chúng trong năm 2021/nDu lịch và Khách sạn
rose_104,Number of Students Across Different Educational Levels in 2021/nSocial Sciences and Humanities,"[{""Educational Level"":""Primary School"",""Value"":250},{""Educational Level"":""Middle School"",""Value"":200},{""Educational Level"":""High School"",""Value"":150},{""Educational Level"":""College"",""Value"":100},{""Educational Level"":""Graduate School"",""Value"":80},{""Educational Level"":""Postgraduate School"",""Value"":60},{""Educational Level"":""Professional School"",""Value"":40},{""Educational Level"":""Doctoral School"",""Value"":20}]","[{""Trình độ học vấn"":""Trường tiểu học"",""Giá trị"":250},{""Trình độ học vấn"":""Trường trung học cơ sở"",""Giá trị"":200},{""Trình độ học vấn"":""Trường trung học phổ thông"",""Giá trị"":150},{""Trình độ học vấn"":""Cao đẳng"",""Giá trị"":100},{""Trình độ học vấn"":""Trường sau đại học"",""Giá trị"":80},{""Trình độ học vấn"":""Trường sau đại học"",""Giá trị"":60},{""Trình độ học vấn"":""Trường chuyên nghiệp"",""Giá trị"":40},{""Trình độ học vấn"":""Trường tiến sĩ"",""Giá trị"":20}]",Số lượng sinh viên ở các cấp học khác nhau năm 2021/Khoa học xã hội và nhân văn
rose_105,Number of Hospitals Specializing in Different Fields in 2021/nHealthcare and Health,"[{""Category"":""Primary Care"",""Value"":73},{""Category"":""Mental Health"",""Value"":63},{""Category"":""Cardiology"",""Value"":50},{""Category"":""Oncology"",""Value"":42},{""Category"":""Ophthalmology"",""Value"":33},{""Category"":""Endocrinology"",""Value"":27},{""Category"":""Pediatrics"",""Value"":19},{""Category"":""Geriatrics"",""Value"":12},{""Category"":""Emergency Medicine"",""Value"":8}]","[{""Category"":""Chăm sóc ban đầu"",""Giá trị"":73},{""Category"":""Sức khỏe tâm thần"",""Giá trị"":63},{""Category"":""Tim mạch"",""Giá trị"":50},{""Category"":""Ung thư"",""Giá trị"":42},{""Category"":""Nhãn khoa"",""Giá trị"":33},{""Category"":""Nội tiết"",""Giá trị"":27},{""Category"":""Nhi khoa"",""Giá trị"":19},{""Category"":""Lão khoa"",""Giá trị"":12},{""Category"":""Y học cấp cứu"",""Giá trị"":8}]",Số lượng bệnh viện chuyên khoa các lĩnh vực khác nhau năm 2021/nY tế và Sức khỏe
rose_106,Prevalence of Food and Beverage Categories in 2021/nFood and Beverage Industry,"[{""Category"":""Fast Food"",""Value"":50},{""Category"":""Beverages"",""Value"":40},{""Category"":""Bakery"",""Value"":30},{""Category"":""Dairy Products"",""Value"":20},{""Category"":""Organic Products"",""Value"":10},{""Category"":""Frozen Food"",""Value"":5},{""Category"":""Seafood"",""Value"":8}]","[{""Category"":""Thức ăn nhanh"",""Giá trị"":50},{""Category"":""Đồ uống"",""Giá trị"":40},{""Category"":""Tiệm bánh"",""Giá trị"":30},{""Category"":""Sản phẩm từ sữa"",""Giá trị"":20},{""Category"":""Sản phẩm hữu cơ"",""Giá trị"":10},{""Category"":""Thực phẩm đông lạnh"",""Giá trị"":5},{""Category"":""Hải sản"",""Giá trị"":8}]",Sự phổ biến của các loại thực phẩm và đồ uống trong năm 2021/nNgành thực phẩm và đồ uống
rose_107,Number of Students Enrolled in Each Subject in 2021/nEducation and Academics,"[{""Subject"":""Mathematics"",""Value"":130},{""Subject"":""Science"",""Value"":110},{""Subject"":""English"",""Value"":120},{""Subject"":""Social Studies"",""Value"":90},{""Subject"":""Computer Science"",""Value"":80},{""Subject"":""History"",""Value"":60},{""Subject"":""Physical Education"",""Value"":40},{""Subject"":""Music"",""Value"":10},{""Subject"":""Art"",""Value"":20}]","[{""Subject"":""Toán học"",""Giá trị"":130},{""Subject"":""Khoa học"",""Giá trị"":110},{""Subject"":""Tiếng Anh"",""Giá trị"":120},{""Subject"":""Nghiên cứu xã hội"",""Giá trị"":90},{""Subject"":""Khoa học máy tính"",""Giá trị"":80},{""Subject"":""Lịch sử"",""Giá trị"":60},{""Subject"":""Giáo dục thể chất"",""Giá trị"":40},{""Subject"":""Âm nhạc"",""Giá trị"":10},{""Subject"":""Nghệ thuật"",""Giá trị"":20}]",Số lượng sinh viên đăng ký vào mỗi môn học năm 2021/nGiáo dục và học thuật
